# This file was produced by bcftools stats (1.23.1+htslib-1.23.1) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  filtered.vcf
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	filtered.vcf
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	34554
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	34287
SN	0	number of MNPs:	0
SN	0	number of indels:	267
SN	0	number of others:	0
SN	0	number of multiallelic sites:	11
SN	0	number of multiallelic SNP sites:	11
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	24653	9645	2.56	24651	9636	2.56
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	563	366	197	13	0	0	13
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	563	366	197	13	0	0	13
AF	0	0.990000	33735	24287	9448	254	0	0	254
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30.1	2	1	1	0
QUAL	0	30.2	1	1	0	0
QUAL	0	30.4	12	8	4	0
QUAL	0	31.2	1	1	0	0
QUAL	0	31.4	5	4	1	0
QUAL	0	32.2	2	2	0	0
QUAL	0	32.4	8	3	5	0
QUAL	0	33.0	1	0	1	0
QUAL	0	33.2	1	1	0	0
QUAL	0	33.4	5	3	2	0
QUAL	0	34.0	0	0	0	1
QUAL	0	34.4	5	2	3	0
QUAL	0	35.4	4	4	0	1
QUAL	0	36.0	0	0	0	1
QUAL	0	36.4	4	3	1	0
QUAL	0	36.9	1	1	0	0
QUAL	0	37.2	1	0	1	0
QUAL	0	37.3	1	1	0	0
QUAL	0	37.4	2	2	0	1
QUAL	0	37.5	0	0	0	1
QUAL	0	37.6	1	1	0	0
QUAL	0	37.8	0	0	0	1
QUAL	0	37.9	1	1	0	0
QUAL	0	38.0	1	1	0	0
QUAL	0	38.1	1	1	0	0
QUAL	0	38.3	1	1	0	0
QUAL	0	38.4	1	1	0	0
QUAL	0	39.2	1	1	0	0
QUAL	0	39.4	6	4	2	0
QUAL	0	39.7	1	0	1	0
QUAL	0	39.8	1	1	0	0
QUAL	0	40.4	0	0	0	1
QUAL	0	40.9	2	1	1	0
QUAL	0	41.1	1	0	1	0
QUAL	0	41.2	1	1	0	0
QUAL	0	41.3	1	1	0	1
QUAL	0	41.4	4	1	3	0
QUAL	0	42.2	2	2	0	0
QUAL	0	42.3	2	2	0	0
QUAL	0	42.4	2	1	1	1
QUAL	0	42.8	0	0	0	1
QUAL	0	43.1	1	1	0	0
QUAL	0	43.4	2	1	1	0
QUAL	0	44.0	1	0	1	0
QUAL	0	44.1	1	0	1	0
QUAL	0	44.4	5	3	2	0
QUAL	0	45.1	1	1	0	0
QUAL	0	45.2	1	0	1	0
QUAL	0	45.4	12	6	6	0
QUAL	0	45.8	1	1	0	0
QUAL	0	46.4	1	1	0	1
QUAL	0	46.5	1	0	1	0
QUAL	0	46.6	1	1	0	0
QUAL	0	46.8	1	0	1	0
QUAL	0	47.3	1	1	0	0
QUAL	0	47.4	9	6	3	0
QUAL	0	47.7	1	1	0	0
QUAL	0	48.1	2	2	0	0
QUAL	0	48.4	1	1	0	0
QUAL	0	48.9	1	0	1	0
QUAL	0	49.3	1	0	1	0
QUAL	0	49.4	1	1	0	0
QUAL	0	50.4	6	1	5	0
