# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
3'ETS-leuZ	gene-b4759	rna-b4759	lincRNA	0	0	0	121	0	0	0	0	89	0	0	0	0	1	0	0	0	0	0	0	0	31
C0293	gene-b4806	rna-b4806	lincRNA	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64
aaaD	aaaD	gene-b4634	pseudogene	0	0	0	186	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	167
aaaE	aaaE	gene-b4693	pseudogene	0	0	0	98	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0
aaeA	gene-b3241	TRANSCRIPT_gene-b3241	protein_coding	0	10	2	130	0	0	0	0	57	0	0	0	2	0	0	0	0	0	0	0	10	73
aaeB	gene-b3240	TRANSCRIPT_gene-b3240	protein_coding	0	21	5	97	0	0	0	0	40	0	0	0	5	0	0	0	0	0	0	0	21	57
aaeR	gene-b3243	TRANSCRIPT_gene-b3243	protein_coding	0	21	0	119	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	21	60
aaeX	gene-b3242	TRANSCRIPT_gene-b3242	protein_coding	0	2	0	131	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	2	74
aas	gene-b2836	TRANSCRIPT_gene-b2836	protein_coding	0	2	1	38	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0	2	20
aat	gene-b0885	TRANSCRIPT_gene-b0885	protein_coding	0	4	0	77	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	4	31
abgA	gene-b1338	TRANSCRIPT_gene-b1338	protein_coding	0	0	0	24	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	2
abgB	gene-b1337	TRANSCRIPT_gene-b1337	protein_coding	0	0	0	30	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	2
abgR	gene-b1339	TRANSCRIPT_gene-b1339	protein_coding	0	0	1	16	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	14
abgT	gene-b1336	TRANSCRIPT_gene-b1336	protein_coding	0	5	1	23	0	0	0	0	22	0	0	0	1	0	0	0	0	0	0	0	5	1
abrB	gene-b0715	TRANSCRIPT_gene-b0715	protein_coding	0	21	4	238	0	0	0	0	36	0	0	0	4	0	0	0	0	0	0	0	21	202
accA	gene-b0185	TRANSCRIPT_gene-b0185	protein_coding	0	14	4	156	0	0	0	0	92	0	0	0	4	0	0	0	0	0	0	0	14	64
accB	gene-b3255	TRANSCRIPT_gene-b3255	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
accC	gene-b3256	TRANSCRIPT_gene-b3256	protein_coding	0	0	0	18	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2
accD	gene-b2316	TRANSCRIPT_gene-b2316	protein_coding	0	1	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2
aceA	gene-b4015	TRANSCRIPT_gene-b4015	protein_coding	0	8	0	74	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	8	6
aceB	gene-b4014	TRANSCRIPT_gene-b4014	protein_coding	0	1	1	70	0	0	0	0	66	0	0	0	1	0	0	0	0	0	0	0	1	4
aceE	gene-b0114	TRANSCRIPT_gene-b0114	protein_coding	0	6	1	4	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	6	2
aceF	gene-b0115	TRANSCRIPT_gene-b0115	protein_coding	0	0	0	29	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	8
aceK	gene-b4016	TRANSCRIPT_gene-b4016	protein_coding	0	41	2	67	0	0	0	0	51	0	0	0	2	0	0	0	0	0	0	0	41	16
aceK-int	gene-b4830	rna-b4830	lincRNA	0	0	0	85	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	23
ackA	gene-b2296	TRANSCRIPT_gene-b2296	protein_coding	0	2	0	39	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	2	17
acnA	gene-b1276	TRANSCRIPT_gene-b1276	protein_coding	0	4	1	17	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	4	3
acnB	gene-b0118	TRANSCRIPT_gene-b0118	protein_coding	0	47	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	47	2
